Brand,CPU,GPU,RAM Type,RAM Size (GB),Storage (GB),Screen Type,Refresh Rate (Hz),Uniqueness,Upgradeable,Price (Rupiah)
AXIOO,I3-1215,-,DDR5,24GB,256GB,OLED,60,[],1,7749000
,I5-7200,-,DDR4,8GB,256GB,LED,60,['fingerprint'],1,7750000
,I5-8365,-,DDR4,,,LED,60,[],1,7775000
LENOVO,I5-12450,-,DDR5,16GB,512GB,IPS,60,[],0,7799000
LENOVO,RYZEN 5-7530,-,DDR4,8GB,512GB,IPS,60,[],0,7827000
LENOVO,RYZEN 5-7530,-,DDR5,8GB,512GB,IPS,60,[],0,7849000
AXIOO,I5-1235,-,DDR5,24GB,512GB,OLED,60,[],1,7899000
LENOVO,I5-1235,-,DDR4,8GB,512GB,LED,60,[],1,7900800
ASUS,RYZEN 5-7520,-,DDR5,16GB,512GB,LED,60,[],1,7950000
ASUS,I3-1005,-,DDR4,8GB,1024GB,LED,60,[],1,7999000
HP,I5-1335,-,DDR4,32GB,256GB,IPS,60,['fingerprint'],1,7999000
ASUS,I3-1005,-,DDR4,,1024GB,LED,60,[],1,7999000
ACER,,-,DDR4,,,LED,60,[],1,8000000
LENOVO,I5-13420,-,DDR5,16GB,512GB,LED,60,[],1,8000000
ASUS,I5-1235,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,8029000
ASUS,RYZEN 5-7430,-,DDR4,8GB,512GB,LED,60,['fingerprint'],1,8029000
ASUS,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,8039000
LENOVO,,-,DDR4,16GB,1024GB,LED,60,[],1,8040000
ASUS,I5-13420,-,DDR5,8GB,512GB,LED,60,[],1,8049000
ASUS,RYZEN 5-5500,-,DDR4,8GB,512GB,IPS,60,[],1,8099000
HP,RYZEN 5-7530,-,DDR4,8GB,256GB,IPS,60,[],1,8099000
LENOVO,I5-1335,-,DDR5,16GB,512GB,IPS,60,[],0,8099000
HP,I5-1235,-,DDR4,8GB,512GB,IPS,60,[],1,8129000
ASUS,I5-1335,-,DDR4,8GB,512GB,VA,60,[],1,8149000
ASUS,I5-1335,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,8149000
LENOVO,I5-120,-,DDR5,16GB,512GB,IPS,60,[],0,8199000
ASUS,I3-1215,-,DDR4,16GB,256GB,LED,60,['fingerprint'],1,8199000
ACER,I5-1235,-,DDR5,8GB,512GB,IPS,60,[],1,8199000
ACER,I3-N305,-,DDR5,8GB,512GB,IPS,60,[],1,8249000
LENOVO,RYZEN 3-3250,-,DDR4,8GB,256GB,TN,60,['fingerprint'],1,8250000
LENOVO,RYZEN 7-7730,-,DDR4,16GB,512GB,LED,60,[],1,8289000
HP,RYZEN 3-3250,-,DDR4,8GB,256GB,LED,60,[],1,8299000
LENOVO,I5-1005,-,DDR4,,256GB,LED,60,[],1,8300000
ASUS,I5-1334,-,DDR4,8GB,512GB,VA,60,[],1,8339000
,I5-13420,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,8349000
ACER,I5-1334,-,DDR5,16GB,512GB,IPS,60,[],1,8349000
ACER,I5-1235,-,DDR5,16GB,512GB,IPS,60,[],1,8349000
ASUS,I5-1235,-,DDR4,8GB,512GB,LED,60,[],1,8389000
HP,I5-1235,-,DDR4,8GB,512GB,LED,60,[],1,8399000
ASUS,I5-1135,-,DDR4,16GB,512GB,LED,60,['fingerprint'],1,8449000
HP,I5-1335,-,DDR4,8GB,512GB,IPS,60,[],1,8449000
LENOVO,I5-13420,-,DDR4,8GB,512GB,IPS,60,[],1,8479000
LENOVO,I5-13420,-,DDR4,16GB,512GB,IPS,60,[],0,8479000
AXIOO,I3-1005,-,DDR4,8GB,256GB,IPS,60,[],1,8499000
ASUS,I5-1335,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,8509000
LENOVO,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,8574000
LENOVO,RYZEN 5-7530,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],0,8599000
HP,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,[],1,8649000
AXIOO,I5-1235,-,DDR5,24GB,512GB,OLED,60,[],1,8649000
LENOVO,N200,-,DDR5,8GB,256GB,IPS,60,['yoga'],0,8649000
HP,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,[],1,8679000
LENOVO,N200,-,DDR5,8GB,256GB,IPS,60,[],0,8699000
LENOVO,I5-12450,-,DDR5,16GB,512GB,IPS,60,['fingerprint'],0,8699000
DELL,RYZEN 7-7730,-,DDR4,32GB,1024GB,LED,120,[],1,8699000
LENOVO,N200,-,DDR5,8GB,256GB,IPS,60,['fingerprint'],0,8775000
ASUS,I5-1135,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,8799000
AXIOO,I5-1235,-,DDR4,8GB,,IPS,60,[],1,8849000
LENOVO,RYZEN 5-7530,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],0,8899000
ACER,I7-1255,-,DDR4,8GB,512GB,IPS,60,[],1,8950000
LENOVO,I5-1145,-,DDR4,8GB,512GB,TN,60,[],1,8985000
ASUS,I5-1135,-,DDR4,8GB,,LED,60,[],1,8989000
LENOVO,I7-8550,NVIDIA MX110,DDR4,8GB,1024GB,LED,60,['yoga'],1,8998000
HP,I5-1235,-,DDR4,8GB,512GB,IPS,60,[],1,8999000
HP,I5-1335,-,DDR4,8GB,512GB,IPS,60,[],1,8999000
LENOVO,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,8999000
ADVAN,RYZEN 7-7735,-,DDR4,16GB,512GB,IPS,60,[],1,8999999
ACER,I5-10210,-,DDR4,,1024GB,IPS,60,[],1,9000000
LENOVO,I5-1235,-,DDR4,8GB,512GB,LED,60,[],1,9029000
ACER,RYZEN 5-6600,RTX 3050,DDR5,8GB,512GB,IPS,165,[],1,9049000
HP,I5-120,-,DDR5,16GB,512GB,IPS,60,[],1,9074000
HP,RYZEN 5-3500,-,DDR4,8GB,1024GB,IPS,60,[],1,9100000
ASUS,RYZEN 7-5800,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,9199000
LENOVO,I5-1245,-,DDR5,8GB,512GB,IPS,60,"['fingerprint', 'yoga']",0,9199000
MSI,I7-1355,-,DDR4,16GB,512GB,IPS,60,[],1,9249000
ADVAN,RYZEN 7-8845,-,DDR5,16GB,512GB,IPS,60,[],1,9289000
ASUS,I5-1035,-,DDR4,8GB,256GB,LED,60,['fingerprint'],1,9299000
ASUS,I3-10110,-,DDR4,8GB,512GB,LED,60,[],1,9299000
HP,I3-1215,-,DDR4,8GB,256GB,IPS,60,[],1,9389000
AXIOO,I7-12650,RTX 2050,DDR4,16GB,,LCD,144,[],1,9389000
LENOVO,RYZEN 7-5700,-,DDR4,16GB,512GB,IPS,60,['flex'],0,9399000
