No,Brand,CPU,GPU,RAM Type,RAM Size (GB),Storage (GB),Screen Type,Refresh Rate (Hz),Uniqueness,Upgradeable,Price (Rupiah)
133,ACER,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7449000
134,LENOVO,AMD Ryzen 3 3250U,,DDR4,8,256.0,LED,60,0,1,7450000
135,MSI,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7499000
136,ACER,Intel Core i5-1235U,,DDR4,8,256.0,LED,60,0,1,7500000
137,DELL,Intel Core i5-1145G7,,DDR4,8,512.0,LED,60,0,1,7574000
138,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7575000
139,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7599000
140,HP,Intel Core i3-1215U,,DDR4,8,512.0,LED,60,0,1,7600000
141,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,1,1,7649000
142,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7699000
143,ADVAN,AMD Ryzen 7 6800H,,DDR5,8,512.0,LED,60,0,1,7720000
144,ASUS,AMD Ryzen 5 7520U,,DDR5,8,256.0,LED,60,0,1,7729000
145,ACER,AMD Ryzen 5 7520U,,DDR5,8,512.0,LED,60,0,1,7743120
146,AXIOO,Intel Core i3-1215U,,DDR5,16,256.0,OLED,60,0,1,7749000
147,,Intel Core i5-7200U,,DDR4,8,256.0,LED,60,1,1,7750000
148,,Intel Core i5-8365U,,DDR4,8,512.0,LED,60,0,1,7775000
149,LENOVO,Intel Core i5-12450H,,DDR5,8,512.0,LED,60,0,0,7799000
150,LENOVO,AMD Ryzen 5 7530U,,DDR4,8,512.0,LED,60,0,0,7827000
151,LENOVO,AMD Ryzen 5 7530U,,DDR5,8,512.0,LED,60,0,0,7849000
152,AXIOO,Intel Core i5-1235U,,DDR5,16,512.0,OLED,60,0,1,7899000
153,LENOVO,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7900800
154,ASUS,AMD Ryzen 5 7520U,,DDR5,8,512.0,LED,60,0,1,7950000
155,ASUS,Intel Core i3-1005G1,,DDR4,8,512.0,LED,60,0,1,7999000
156,HP,Intel Core i5-1335U,,DDR4,8,256.0,LED,60,1,1,7999000
157,ASUS,Intel Core i3-1005G1,,DDR4,8,512.0,LED,60,0,1,7999000
158,LENOVO,Intel Core i5-13420H,,DDR5,16,512.0,LED,60,0,1,8000000
159,ASUS,Intel Core i5-1235U,,DDR4,16,512.0,LED,60,1,1,8029000
160,ASUS,AMD Ryzen 5 7430U,,DDR4,8,512.0,LED,60,1,1,8029000
161,ASUS,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,1,1,8039000
162,ASUS,Intel Core i5-13420H,,DDR5,8,512.0,LED,60,0,1,8049000
163,ASUS,AMD Ryzen 5 5500U,,DDR4,8,512.0,LED,60,0,1,8099000
164,HP,AMD Ryzen 5 7530U,,DDR4,8,256.0,LED,60,0,1,8099000
165,LENOVO,Intel Core i5-1335U,,DDR5,16,512.0,LED,60,0,0,8099000
166,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,8129000
167,ASUS,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,0,1,8149000
168,ASUS,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,1,1,8149000
169,LENOVO,Intel Core i5-1240P,,DDR5,16,512.0,LED,60,0,0,8199000
170,ASUS,Intel Core i3-1215U,,DDR4,16,256.0,LED,60,1,1,8199000
171,ACER,Intel Core i5-1235U,,DDR5,8,512.0,LED,60,0,1,8199000
172,ACER,Intel Core i3-N305,,DDR5,8,512.0,LED,60,0,1,8249000
173,LENOVO,AMD Ryzen 3 3250U,,DDR4,8,256.0,LED,60,1,1,8250000
174,LENOVO,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,0,1,8289000
175,HP,AMD Ryzen 3 3250U,,DDR4,8,256.0,LED,60,0,1,8299000
176,LENOVO,Intel Core i3-1005G1,,DDR4,8,256.0,LED,60,0,1,8300000
177,ASUS,Intel Core i5-1334U,,DDR4,8,512.0,LED,60,0,1,8339000
178,,Intel Core i5-13420H,,DDR4,16,512.0,LED,60,1,1,8349000
179,ACER,Intel Core i5-1334U,,DDR5,16,512.0,LED,60,0,1,8349000
180,ACER,Intel Core i5-1235U,,DDR5,16,512.0,LED,60,0,1,8349000
181,ASUS,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,8389000
182,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,8399000
183,ASUS,Intel Core i5-1135G7,,DDR4,16,512.0,LED,60,1,1,8449000
184,HP,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,0,1,8449000
185,LENOVO,Intel Core i5-13420H,,DDR4,8,512.0,LED,60,0,1,8479000
186,LENOVO,Intel Core i5-13420H,,DDR4,16,512.0,LED,60,0,0,8479000
187,AXIOO,Intel Core i3-1005G1,,DDR4,8,256.0,LED,60,0,1,8499000
188,ASUS,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,1,1,8509000
189,LENOVO,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,0,1,8574000
190,LENOVO,AMD Ryzen 5 7530U,,DDR4,16,512.0,LED,60,1,0,8599000
191,HP,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,0,1,8649000
192,AXIOO,Intel Core i5-1235U,,DDR5,16,512.0,OLED,60,0,1,8649000
193,LENOVO,Intel N200,,DDR5,8,256.0,LED,60,2,0,8649000
194,HP,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,0,1,8679000
195,LENOVO,Intel N200,,DDR5,8,256.0,LED,60,0,0,8699000
196,LENOVO,Intel Core i5-12450H,,DDR5,16,512.0,LED,60,1,0,8699000
197,DELL,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,120,0,1,8699000
198,LENOVO,Intel N200,,DDR5,8,256.0,LED,60,1,0,8775000
199,ASUS,Intel Core i5-1135G7,,DDR4,8,512.0,LED,60,1,1,8799000
200,AXIOO,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,8849000
201,LENOVO,AMD Ryzen 5 7530U,,DDR4,8,512.0,LED,60,1,0,8899000
202,ACER,Intel Core i7-1255U,,DDR4,8,512.0,LED,60,0,1,8950000
203,LENOVO,Intel Core i5-1145G7,,DDR4,8,512.0,LED,60,0,1,8985000
204,ASUS,Intel Core i5-1135G7,,DDR4,8,512.0,LED,60,0,1,8989000
205,LENOVO,Intel Core i7-8550U,,DDR4,8,512.0,LED,60,2,1,8998000
206,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,8999000
207,HP,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,0,1,8999000
208,LENOVO,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,0,1,8999000
209,ADVAN,AMD Ryzen 7 7735HS,,DDR4,16,512.0,LED,60,0,1,8999999
210,ACER,Intel Core i5-10210U,,DDR4,8,512.0,LED,60,0,1,9000000
211,LENOVO,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,9029000
212,ACER,AMD Ryzen 5 6600H,RTX 3050 Laptop,DDR5,8,512.0,LED,165,0,1,9049000
213,HP,Intel Core i5-1240P,,DDR5,16,512.0,LED,60,0,1,9074000
214,HP,AMD Ryzen 5 3500,,DDR4,8,512.0,LED,60,0,1,9100000
215,ASUS,AMD Ryzen 7 5800HS,,DDR4,16,512.0,LED,60,1,1,9199000
216,LENOVO,Intel Core i5-1245U,,DDR5,8,512.0,LED,60,2,0,9199000
217,MSI,Intel Core i7-1355U,,DDR4,16,512.0,LED,60,0,1,9249000
218,ADVAN,AMD Ryzen 7 8845HS,,DDR5,16,512.0,LED,60,0,1,9289000
219,ASUS,Intel Core i5-1035G7,,DDR4,8,256.0,LED,60,1,1,9299000
220,ASUS,Intel Core i3-10110U,,DDR4,8,512.0,LED,60,0,1,9299000
